Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,DayOfWeek
2025,November,Gandaki,Kaski,Urban,Junction,Evening,Fatal,Rain,Wet,Motorbike,80,Male,Sunday
2025,October,Koshi,Ilam,Highway,Straight,Evening,Minor Injury,Clear,Dry,Truck,30,Female,Friday
2024,December,Lumbini,Kapilvastu,Highway,Straight,Evening,Serious Injury,Clear,Damaged,Motorbike,50,Female,Friday
2025,April,Gandaki,Gorkha,Urban,Straight,Night,Serious Injury,Rain,Wet,Bus,50,Female,Sunday
2025,December,Bagmati,Chitwan,Urban,Straight,Night,Fatal,Clear,Damaged,Truck,50,Male,Wednesday
2023,August,Lumbini,Dang,Urban,Straight,Afternoon,Minor Injury,Rain,Wet,Car,80,Male,Wednesday
2024,December,Madhesh,Rautahat,Urban,Straight,Night,Fatal,Fog,Dry,Scooter,50,Male,Tuesday
2024,July,Koshi,Morang,Highway,Straight,Afternoon,Minor Injury,Dusty,Dry,Bus,50,Female,Monday
2023,February,Bagmati,Chitwan,Urban,Junction,Morning,Damage Only,Clear,Slippery,Car,50,Male,Wednesday
2023,March,Karnali,Jumla,Rural,Straight,Night,Serious Injury,Clear,Slippery,Truck,80,Male,Wednesday
2024,May,Karnali,Surkhet,Urban,Junction,Afternoon,Minor Injury,Fog,Wet,Microbus,30,Male,Tuesday
2023,January,Madhesh,Bara,Urban,Straight,Evening,Fatal,Clear,Wet,Truck,50,Male,Wednesday
2025,March,Bagmati,Lalitpur,Urban,Straight,Night,Minor Injury,Rain,Wet,Scooter,50,Male,Thursday
2024,June,Madhesh,Bara,Highway,Straight,Evening,Minor Injury,Dusty,Damaged,Motorbike,30,Male,Thursday
2024,February,Lumbini,Kapilvastu,Rural,Curve,Evening,Minor Injury,Clear,Wet,Car,80,Male,Tuesday
2024,February,Bagmati,Lalitpur,Highway,Junction,Afternoon,Serious Injury,Clear,Slippery,Motorbike,50,Male,Monday
2023,August,Madhesh,Parsa,Feeder,Straight,Evening,Minor Injury,Clear,Wet,Motorbike,30,Male,Wednesday
2023,June,Koshi,Morang,Highway,Junction,Morning,Damage Only,Clear,Slippery,Microbus,50,Male,Thursday
2024,June,Lumbini,Kapilvastu,Rural,Curve,Morning,Damage Only,Fog,Slippery,Motorbike,30,Male,Thursday
2025,January,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Scooter,30,Male,Sunday
2024,July,Karnali,Surkhet,Rural,Straight,Night,Minor Injury,Rain,Wet,Scooter,30,Male,Thursday
2023,November,Lumbini,Banke,Urban,Straight,Afternoon,Serious Injury,Clear,Damaged,Car,80,Male,Sunday
2025,January,Koshi,Jhapa,Urban,Junction,Evening,Serious Injury,Rain,Wet,Scooter,80,Male,Monday
2023,February,Karnali,Kalikot,Urban,Curve,Morning,Serious Injury,Clear,Slippery,Motorbike,50,Female,Sunday
2023,March,Koshi,Ilam,Urban,Junction,Morning,Minor Injury,Clear,Damaged,Motorbike,30,Female,Monday
2024,May,Koshi,Jhapa,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,50,Male,Tuesday
2023,March,Madhesh,Rautahat,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Car,50,Male,Thursday
2024,March,Koshi,Sunsari,Highway,Junction,Morning,Serious Injury,Fog,Slippery,Truck,50,Male,Friday
2025,December,Bagmati,Kathmandu,Feeder,Curve,Evening,Damage Only,Rain,Wet,Motorbike,30,Male,Wednesday
2024,July,Lumbini,Banke,Urban,Straight,Morning,Damage Only,Rain,Wet,Motorbike,30,Male,Sunday
2026,January,Sudurpashchim,Kanchanpur,Highway,Straight,Afternoon,Fatal,Clear,Wet,Motorbike,30,Male,Tuesday
2025,September,Sudurpashchim,Kailali,Rural,Straight,Night,Minor Injury,Dusty,Slippery,Scooter,50,Male,Tuesday
2024,November,Bagmati,Chitwan,Highway,Straight,Morning,Damage Only,Clear,Damaged,Bus,50,Male,Sunday
2024,February,Bagmati,Kathmandu,Highway,Junction,Evening,Minor Injury,Fog,Wet,Microbus,50,Male,Thursday
2024,May,Madhesh,Sarlahi,Urban,Straight,Morning,Minor Injury,Clear,Damaged,Car,50,Male,Monday
2025,September,Sudurpashchim,Kailali,Urban,Junction,Evening,Minor Injury,Clear,Wet,Car,50,Male,Thursday
2025,September,Karnali,Jumla,Highway,Curve,Night,Serious Injury,Rain,Wet,Motorbike,30,Male,Friday
2023,November,Koshi,Ilam,Rural,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,30,Female,Monday
2023,June,Koshi,Sunsari,Urban,Junction,Night,Damage Only,Clear,Slippery,Bus,80,Male,Saturday
2024,March,Sudurpashchim,Kanchanpur,Highway,Curve,Afternoon,Minor Injury,Clear,Damaged,Motorbike,30,Male,Tuesday
2024,July,Lumbini,Kapilvastu,Urban,Curve,Evening,Minor Injury,Clear,Dry,Scooter,30,Male,Monday
2023,January,Koshi,Sunsari,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Motorbike,80,Male,Saturday
2023,October,Koshi,Morang,Highway,Junction,Evening,Minor Injury,Clear,Slippery,Motorbike,80,Male,Monday
2024,September,Lumbini,Dang,Rural,Straight,Evening,Serious Injury,Clear,Wet,Motorbike,80,Male,Thursday
2024,January,Lumbini,Dang,Rural,Straight,Morning,Serious Injury,Clear,Dry,Truck,50,Male,Thursday
2026,January,Lumbini,Rupandehi,Urban,Junction,Evening,Serious Injury,Clear,Dry,Jeep,30,Male,Monday
2025,August,Koshi,Jhapa,Urban,Junction,Morning,Minor Injury,Rain,Wet,Motorbike,80,Male,Thursday
2025,September,Madhesh,Parsa,Highway,Straight,Afternoon,Minor Injury,Clear,Damaged,Motorbike,80,Male,Wednesday
2023,March,Bagmati,Bhaktapur,Highway,Junction,Morning,Minor Injury,Dusty,Wet,Bus,30,Male,Saturday
2024,May,Sudurpashchim,Achham,Highway,Straight,Evening,Minor Injury,Clear,Wet,Motorbike,80,Male,Sunday
2024,July,Koshi,Sunsari,Rural,Curve,Night,Minor Injury,Clear,Wet,Motorbike,30,Male,Monday
2023,February,Madhesh,Bara,Rural,Curve,Night,Minor Injury,Dusty,Damaged,Jeep,30,Male,Tuesday
2023,September,Bagmati,Chitwan,Urban,Curve,Evening,Minor Injury,Clear,Wet,Bus,30,Male,Tuesday
2025,September,Lumbini,Kapilvastu,Urban,Curve,Night,Serious Injury,Dusty,Dry,Motorbike,30,Male,Monday
2023,August,Bagmati,Kathmandu,Rural,Junction,Afternoon,Minor Injury,Clear,Damaged,Scooter,50,Female,Tuesday
2023,July,Gandaki,Tanahun,Highway,Curve,Afternoon,Damage Only,Rain,Wet,Motorbike,30,Male,Sunday
2023,May,Koshi,Ilam,Highway,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,80,Male,Friday
2025,November,Madhesh,Bara,Rural,Straight,Morning,Serious Injury,Rain,Wet,Bus,30,Male,Wednesday
2023,December,Madhesh,Bara,Highway,Straight,Evening,Serious Injury,Fog,Damaged,Scooter,80,Male,Wednesday
2023,April,Koshi,Jhapa,Urban,Straight,Night,Minor Injury,Fog,Dry,Car,30,Male,Tuesday
2025,January,Madhesh,Rautahat,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,30,Female,Friday
2023,August,Koshi,Jhapa,Urban,Junction,Morning,Serious Injury,Clear,Wet,Jeep,30,Male,Thursday
2025,December,Gandaki,Tanahun,Feeder,Junction,Evening,Minor Injury,Dusty,Dry,Motorbike,80,Female,Sunday
2023,January,Koshi,Ilam,Rural,Curve,Afternoon,Serious Injury,Clear,Dry,Motorbike,30,Male,Tuesday
2024,February,Gandaki,Kaski,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Scooter,30,Male,Thursday
2025,March,Madhesh,Parsa,Rural,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Male,Friday
2023,December,Sudurpashchim,Kailali,Feeder,Straight,Morning,Minor Injury,Clear,Wet,Car,50,Male,Monday
2025,June,Bagmati,Kathmandu,Urban,Junction,Morning,Damage Only,Rain,Wet,Truck,80,Male,Monday
2024,March,Gandaki,Kaski,Urban,Straight,Morning,Minor Injury,Clear,Wet,Motorbike,80,Male,Sunday
2025,December,Lumbini,Banke,Feeder,Curve,Afternoon,Serious Injury,Rain,Wet,Motorbike,30,Male,Wednesday
2023,May,Bagmati,Lalitpur,Rural,Straight,Morning,Minor Injury,Fog,Damaged,Motorbike,30,Male,Tuesday
2024,April,Gandaki,Tanahun,Rural,Straight,Afternoon,Fatal,Clear,Wet,Motorbike,30,Male,Thursday
2025,October,Gandaki,Gorkha,Rural,Junction,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Male,Thursday
2024,May,Gandaki,Kaski,Feeder,Junction,Night,Minor Injury,Clear,Dry,Bus,50,Male,Wednesday
2023,June,Bagmati,Chitwan,Rural,Curve,Evening,Minor Injury,Clear,Slippery,Car,50,Male,Thursday
2025,December,Karnali,Dailekh,Rural,Curve,Night,Minor Injury,Rain,Wet,Car,50,Male,Monday
2025,September,Bagmati,Kathmandu,Rural,Curve,Evening,Minor Injury,Clear,Damaged,Bus,50,Male,Thursday
2024,July,Koshi,Sunsari,Highway,Curve,Night,Fatal,Clear,Damaged,Motorbike,30,Male,Monday
2026,January,Madhesh,Sarlahi,Feeder,Junction,Morning,Minor Injury,Dusty,Slippery,Motorbike,80,Male,Monday
2023,January,Koshi,Ilam,Highway,Curve,Afternoon,Fatal,Dusty,Wet,Motorbike,30,Female,Monday
2024,June,Lumbini,Kapilvastu,Highway,Straight,Evening,Minor Injury,Clear,Slippery,Scooter,80,Male,Tuesday
2025,February,Bagmati,Lalitpur,Highway,Straight,Evening,Minor Injury,Clear,Wet,Car,50,Male,Wednesday
2023,November,Koshi,Morang,Highway,Junction,Afternoon,Serious Injury,Clear,Wet,Scooter,30,Male,Wednesday
2023,October,Madhesh,Bara,Rural,Straight,Evening,Minor Injury,Clear,Wet,Scooter,80,Male,Tuesday
2024,October,Karnali,Kalikot,Rural,Curve,Morning,Serious Injury,Clear,Wet,Car,30,Female,Monday
2025,February,Koshi,Jhapa,Urban,Straight,Evening,Serious Injury,Clear,Wet,Truck,30,Female,Sunday
2023,August,Karnali,Dailekh,Urban,Curve,Evening,Damage Only,Rain,Wet,Truck,50,Male,Wednesday
2025,April,Karnali,Jumla,Highway,Junction,Morning,Minor Injury,Clear,Damaged,Scooter,30,Male,Thursday
2025,February,Lumbini,Kapilvastu,Rural,Junction,Afternoon,Serious Injury,Clear,Dry,Motorbike,80,Male,Tuesday
2026,January,Lumbini,Dang,Highway,Junction,Afternoon,Minor Injury,Rain,Wet,Truck,80,Male,Wednesday
2025,April,Sudurpashchim,Achham,Highway,Junction,Morning,Damage Only,Clear,Damaged,Microbus,30,Male,Friday
2024,April,Bagmati,Lalitpur,Feeder,Junction,Afternoon,Minor Injury,Clear,Wet,Motorbike,50,Male,Tuesday
2025,January,Lumbini,Rupandehi,Feeder,Straight,Night,Minor Injury,Fog,Wet,Car,30,Male,Monday
2024,November,Sudurpashchim,Achham,Urban,Straight,Night,Damage Only,Clear,Damaged,Motorbike,80,Male,Wednesday
2025,August,Madhesh,Sarlahi,Feeder,Junction,Afternoon,Serious Injury,Dusty,Dry,Motorbike,30,Male,Thursday
2025,December,Sudurpashchim,Doti,Highway,Straight,Evening,Minor Injury,Rain,Wet,Scooter,30,Male,Sunday
2024,February,Bagmati,Chitwan,Highway,Roundabout,Afternoon,Minor Injury,Clear,Damaged,Motorbike,50,Female,Saturday
2024,May,Koshi,Ilam,Highway,Straight,Evening,Minor Injury,Dusty,Dry,Car,30,Male,Tuesday
2025,June,Koshi,Jhapa,Urban,Junction,Afternoon,Serious Injury,Clear,Slippery,Microbus,80,Male,Friday
2023,July,Lumbini,Kapilvastu,Urban,Straight,Afternoon,Fatal,Fog,Wet,Bus,50,Male,Monday
2025,August,Madhesh,Sarlahi,Rural,Straight,Morning,Minor Injury,Clear,Dry,Scooter,50,Male,Tuesday
2023,July,Karnali,Kalikot,Rural,Straight,Afternoon,Minor Injury,Clear,Slippery,Motorbike,30,Male,Wednesday
2023,February,Koshi,Morang,Feeder,Curve,Afternoon,Fatal,Rain,Wet,Motorbike,50,Male,Tuesday
2023,May,Lumbini,Dang,Rural,Roundabout,Afternoon,Minor Injury,Rain,Wet,Motorbike,50,Male,Sunday
2024,July,Madhesh,Parsa,Highway,Curve,Evening,Minor Injury,Dusty,Damaged,Scooter,80,Female,Friday
2024,October,Sudurpashchim,Achham,Highway,Straight,Evening,Minor Injury,Dusty,Wet,Bus,50,Male,Saturday
2024,July,Gandaki,Tanahun,Highway,Junction,Afternoon,Serious Injury,Clear,Slippery,Car,30,Male,Monday
2023,April,Sudurpashchim,Kanchanpur,Urban,Roundabout,Afternoon,Minor Injury,Clear,Wet,Microbus,80,Male,Tuesday
2024,December,Sudurpashchim,Achham,Urban,Curve,Morning,Minor Injury,Clear,Wet,Motorbike,50,Female,Sunday
2024,January,Koshi,Morang,Highway,Junction,Morning,Serious Injury,Clear,Wet,Car,80,Male,Monday
2025,June,Lumbini,Dang,Feeder,Straight,Night,Serious Injury,Dusty,Damaged,Bus,30,Male,Sunday
2024,April,Sudurpashchim,Achham,Urban,Straight,Night,Minor Injury,Rain,Wet,Jeep,30,Female,Sunday
2025,March,Koshi,Morang,Urban,Junction,Afternoon,Serious Injury,Clear,Slippery,Bus,80,Female,Saturday
2024,April,Sudurpashchim,Kailali,Urban,Straight,Night,Minor Injury,Clear,Slippery,Car,50,Male,Friday
2024,November,Madhesh,Bara,Highway,Straight,Afternoon,Serious Injury,Clear,Slippery,Scooter,50,Male,Sunday
2023,November,Madhesh,Rautahat,Highway,Straight,Afternoon,Serious Injury,Dusty,Slippery,Motorbike,50,Male,Thursday
2023,December,Sudurpashchim,Kailali,Urban,Straight,Morning,Fatal,Rain,Wet,Bus,30,Male,Saturday
2023,January,Karnali,Dailekh,Highway,Straight,Afternoon,Serious Injury,Clear,Wet,Scooter,80,Female,Monday
2023,November,Koshi,Ilam,Feeder,Junction,Evening,Minor Injury,Rain,Wet,Motorbike,50,Female,Thursday
2025,November,Lumbini,Banke,Rural,Straight,Afternoon,Minor Injury,Dusty,Dry,Car,50,Male,Sunday
2024,March,Madhesh,Rautahat,Urban,Junction,Afternoon,Serious Injury,Clear,Dry,Car,50,Male,Friday
2024,December,Madhesh,Rautahat,Highway,Straight,Evening,Damage Only,Fog,Wet,Motorbike,50,Male,Friday
2024,December,Karnali,Dailekh,Highway,Straight,Morning,Minor Injury,Rain,Wet,Motorbike,30,Female,Monday
2023,May,Koshi,Sunsari,Rural,Junction,Night,Minor Injury,Clear,Slippery,Microbus,50,Male,Saturday
2024,February,Gandaki,Tanahun,Urban,Straight,Night,Minor Injury,Clear,Dry,Truck,80,Female,Saturday
2023,April,Bagmati,Kathmandu,Urban,Straight,Evening,Fatal,Clear,Wet,Truck,30,Female,Thursday
2025,May,Sudurpashchim,Kailali,Urban,Straight,Morning,Serious Injury,Rain,Wet,Car,30,Male,Thursday
2024,May,Madhesh,Sarlahi,Feeder,Curve,Afternoon,Minor Injury,Clear,Damaged,Motorbike,80,Male,Sunday
2023,March,Lumbini,Banke,Highway,Roundabout,Morning,Minor Injury,Clear,Wet,Jeep,50,Male,Sunday
2025,December,Sudurpashchim,Doti,Rural,Straight,Evening,Damage Only,Rain,Wet,Truck,50,Female,Tuesday
2023,June,Madhesh,Sarlahi,Urban,Straight,Night,Minor Injury,Clear,Wet,Truck,30,Female,Tuesday
2025,August,Karnali,Jumla,Urban,Straight,Morning,Damage Only,Clear,Wet,Motorbike,80,Male,Friday
2025,July,Bagmati,Bhaktapur,Highway,Straight,Morning,Serious Injury,Rain,Wet,Scooter,50,Male,Friday
2023,August,Lumbini,Dang,Urban,Junction,Afternoon,Minor Injury,Dusty,Slippery,Car,50,Female,Friday
2023,February,Gandaki,Gorkha,Rural,Curve,Night,Minor Injury,Clear,Slippery,Motorbike,80,Female,Tuesday
2023,April,Koshi,Sunsari,Urban,Junction,Afternoon,Damage Only,Clear,Slippery,Motorbike,80,Male,Saturday
2023,September,Karnali,Dailekh,Urban,Junction,Afternoon,Minor Injury,Clear,Damaged,Motorbike,30,Male,Friday
2025,November,Bagmati,Chitwan,Urban,Junction,Evening,Damage Only,Dusty,Dry,Scooter,50,Male,Sunday
2023,October,Gandaki,Kaski,Rural,Straight,Morning,Fatal,Clear,Wet,Motorbike,50,Male,Saturday
2025,August,Karnali,Surkhet,Urban,Roundabout,Afternoon,Minor Injury,Clear,Dry,Car,30,Male,Friday
2024,April,Karnali,Jumla,Urban,Junction,Evening,Serious Injury,Clear,Damaged,Motorbike,50,Female,Wednesday
2024,September,Madhesh,Rautahat,Urban,Straight,Afternoon,Damage Only,Rain,Wet,Motorbike,50,Female,Thursday
2025,April,Madhesh,Parsa,Feeder,Straight,Afternoon,Minor Injury,Clear,Damaged,Motorbike,50,Female,Wednesday
2024,March,Sudurpashchim,Kanchanpur,Rural,Straight,Evening,Minor Injury,Fog,Dry,Car,50,Male,Saturday
2023,November,Sudurpashchim,Achham,Highway,Junction,Morning,Minor Injury,Clear,Damaged,Scooter,50,Female,Thursday
2025,June,Madhesh,Sarlahi,Urban,Roundabout,Morning,Damage Only,Clear,Slippery,Truck,30,Male,Wednesday
2023,May,Koshi,Jhapa,Highway,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Male,Friday
2023,January,Karnali,Dailekh,Urban,Curve,Evening,Minor Injury,Rain,Wet,Bus,50,Male,Friday
2024,April,Sudurpashchim,Kailali,Urban,Junction,Evening,Serious Injury,Rain,Wet,Truck,80,Male,Friday
2023,June,Lumbini,Banke,Feeder,Straight,Night,Damage Only,Fog,Dry,Motorbike,50,Male,Thursday
2025,October,Madhesh,Sarlahi,Highway,Junction,Night,Minor Injury,Dusty,Dry,Truck,80,Male,Sunday
2023,May,Madhesh,Sarlahi,Urban,Straight,Evening,Serious Injury,Clear,Dry,Car,30,Male,Thursday
2025,September,Sudurpashchim,Kailali,Rural,Straight,Evening,Minor Injury,Rain,Wet,Microbus,50,Male,Wednesday
2023,May,Bagmati,Lalitpur,Rural,Roundabout,Evening,Minor Injury,Clear,Damaged,Car,30,Female,Sunday
2024,April,Gandaki,Kaski,Feeder,Junction,Evening,Minor Injury,Rain,Wet,Motorbike,30,Male,Friday
2025,June,Koshi,Sunsari,Urban,Straight,Night,Minor Injury,Clear,Damaged,Car,30,Female,Friday
2024,October,Gandaki,Gorkha,Rural,Straight,Morning,Minor Injury,Clear,Dry,Car,30,Female,Wednesday
2024,March,Koshi,Sunsari,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Truck,30,Male,Wednesday
2023,February,Lumbini,Kapilvastu,Highway,Junction,Night,Serious Injury,Clear,Damaged,Car,30,Male,Friday
2025,July,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Damage Only,Clear,Slippery,Motorbike,80,Female,Tuesday
2024,July,Sudurpashchim,Kanchanpur,Urban,Curve,Morning,Serious Injury,Clear,Dry,Truck,50,Other,Saturday
2023,August,Sudurpashchim,Doti,Rural,Junction,Afternoon,Minor Injury,Clear,Slippery,Motorbike,80,Male,Saturday
2023,July,Sudurpashchim,Kanchanpur,Urban,Junction,Morning,Minor Injury,Rain,Wet,Scooter,30,Male,Thursday
2025,May,Sudurpashchim,Kanchanpur,Highway,Junction,Morning,Serious Injury,Clear,Dry,Motorbike,30,Male,Friday
2023,April,Karnali,Dailekh,Highway,Straight,Evening,Minor Injury,Rain,Wet,Bus,80,Male,Saturday
2025,December,Gandaki,Tanahun,Highway,Roundabout,Afternoon,Serious Injury,Clear,Damaged,Car,30,Male,Thursday
2024,November,Madhesh,Bara,Rural,Curve,Morning,Damage Only,Rain,Wet,Bus,80,Male,Wednesday
2025,May,Gandaki,Kaski,Rural,Straight,Morning,Serious Injury,Clear,Dry,Motorbike,50,Male,Monday
2023,June,Koshi,Sunsari,Urban,Straight,Morning,Minor Injury,Dusty,Damaged,Motorbike,30,Male,Monday
2023,January,Sudurpashchim,Kailali,Feeder,Straight,Evening,Minor Injury,Clear,Damaged,Motorbike,50,Female,Saturday
2023,March,Koshi,Sunsari,Urban,Straight,Evening,Minor Injury,Dusty,Damaged,Jeep,80,Male,Monday
2025,February,Madhesh,Bara,Highway,Curve,Morning,Minor Injury,Clear,Wet,Scooter,30,Female,Monday
2024,June,Koshi,Morang,Highway,Junction,Afternoon,Damage Only,Clear,Dry,Motorbike,80,Male,Friday
2024,August,Lumbini,Dang,Highway,Junction,Afternoon,Minor Injury,Clear,Damaged,Bus,30,Male,Wednesday
2025,July,Karnali,Kalikot,Rural,Curve,Evening,Serious Injury,Clear,Damaged,Motorbike,30,Male,Sunday
2025,December,Lumbini,Kapilvastu,Highway,Junction,Afternoon,Minor Injury,Dusty,Dry,Jeep,50,Male,Friday
2024,March,Sudurpashchim,Kanchanpur,Rural,Curve,Evening,Minor Injury,Clear,Slippery,Motorbike,30,Male,Thursday
2024,March,Karnali,Kalikot,Rural,Junction,Afternoon,Minor Injury,Clear,Wet,Motorbike,30,Male,Sunday
2023,January,Karnali,Jumla,Feeder,Straight,Night,Serious Injury,Rain,Wet,Scooter,80,Male,Tuesday
2024,September,Koshi,Ilam,Highway,Curve,Night,Minor Injury,Clear,Wet,Car,50,Male,Thursday
2024,October,Gandaki,Kaski,Urban,Straight,Morning,Serious Injury,Clear,Damaged,Motorbike,80,Male,Wednesday
2024,December,Gandaki,Lamjung,Rural,Junction,Afternoon,Fatal,Clear,Wet,Car,30,Male,Sunday
2025,July,Bagmati,Lalitpur,Highway,Junction,Afternoon,Minor Injury,Clear,Damaged,Car,80,Female,Monday
2023,November,Gandaki,Tanahun,Rural,Straight,Evening,Minor Injury,Rain,Wet,Motorbike,80,Male,Tuesday
2025,February,Gandaki,Gorkha,Highway,Straight,Evening,Serious Injury,Clear,Dry,Bus,50,Male,Sunday
2025,September,Bagmati,Lalitpur,Feeder,Junction,Afternoon,Damage Only,Clear,Dry,Motorbike,50,Male,Friday
2023,December,Koshi,Morang,Urban,Junction,Night,Damage Only,Clear,Damaged,Motorbike,50,Male,Monday
2024,February,Lumbini,Rupandehi,Highway,Straight,Night,Damage Only,Dusty,Slippery,Motorbike,30,Female,Wednesday
2023,September,Gandaki,Tanahun,Highway,Straight,Evening,Serious Injury,Clear,Dry,Car,50,Male,Sunday
2024,December,Bagmati,Lalitpur,Highway,Curve,Afternoon,Serious Injury,Rain,Wet,Car,50,Female,Thursday
2025,June,Karnali,Surkhet,Urban,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Male,Monday
2024,February,Madhesh,Bara,Urban,Curve,Afternoon,Fatal,Clear,Damaged,Motorbike,30,Male,Monday
2023,December,Gandaki,Lamjung,Rural,Straight,Morning,Serious Injury,Clear,Dry,Motorbike,50,Female,Tuesday
2024,November,Koshi,Morang,Urban,Straight,Afternoon,Damage Only,Clear,Dry,Motorbike,30,Male,Wednesday
2023,June,Madhesh,Rautahat,Urban,Straight,Evening,Minor Injury,Rain,Wet,Motorbike,80,Female,Thursday
2023,January,Koshi,Sunsari,Feeder,Junction,Evening,Minor Injury,Rain,Wet,Motorbike,50,Male,Saturday
2025,May,Bagmati,Bhaktapur,Urban,Curve,Afternoon,Minor Injury,Clear,Damaged,Motorbike,80,Female,Friday
2025,January,Bagmati,Chitwan,Feeder,Straight,Morning,Minor Injury,Clear,Dry,Motorbike,30,Male,Monday
2024,July,Lumbini,Banke,Highway,Curve,Evening,Minor Injury,Clear,Dry,Truck,80,Male,Tuesday
2023,February,Koshi,Jhapa,Highway,Straight,Evening,Damage Only,Clear,Wet,Scooter,80,Female,Monday
2023,September,Karnali,Surkhet,Rural,Junction,Evening,Serious Injury,Fog,Wet,Jeep,30,Female,Wednesday
2025,November,Lumbini,Banke,Rural,Straight,Evening,Fatal,Rain,Wet,Car,30,Male,Monday
2023,September,Gandaki,Tanahun,Urban,Straight,Night,Minor Injury,Rain,Wet,Car,30,Male,Sunday
2025,February,Gandaki,Kaski,Rural,Junction,Afternoon,Minor Injury,Clear,Damaged,Car,30,Male,Wednesday
2023,November,Bagmati,Bhaktapur,Highway,Straight,Night,Serious Injury,Clear,Wet,Car,50,Female,Thursday
2025,March,Sudurpashchim,Doti,Urban,Curve,Evening,Fatal,Dusty,Wet,Bus,50,Male,Tuesday
2025,July,Madhesh,Parsa,Highway,Junction,Afternoon,Minor Injury,Dusty,Slippery,Scooter,30,Male,Monday
2025,March,Karnali,Jumla,Rural,Roundabout,Night,Serious Injury,Dusty,Wet,Motorbike,30,Female,Monday
2024,November,Gandaki,Kaski,Urban,Curve,Afternoon,Minor Injury,Rain,Wet,Motorbike,80,Male,Wednesday
2025,January,Lumbini,Rupandehi,Rural,Junction,Morning,Damage Only,Clear,Wet,Motorbike,30,Female,Thursday
2024,May,Madhesh,Rautahat,Rural,Straight,Night,Serious Injury,Rain,Wet,Truck,30,Male,Wednesday
2025,March,Lumbini,Kapilvastu,Feeder,Straight,Afternoon,Serious Injury,Fog,Damaged,Motorbike,50,Male,Sunday
2025,April,Gandaki,Gorkha,Highway,Junction,Night,Serious Injury,Rain,Wet,Scooter,30,Male,Tuesday
2024,March,Karnali,Dailekh,Highway,Straight,Morning,Serious Injury,Clear,Damaged,Car,30,Male,Friday
2023,December,Koshi,Morang,Highway,Straight,Afternoon,Damage Only,Clear,Wet,Truck,30,Female,Monday
2024,September,Sudurpashchim,Achham,Urban,Straight,Night,Minor Injury,Dusty,Wet,Car,50,Male,Monday
2025,April,Karnali,Kalikot,Urban,Straight,Morning,Minor Injury,Dusty,Dry,Motorbike,50,Male,Friday
2025,June,Karnali,Jumla,Rural,Curve,Night,Minor Injury,Fog,Dry,Scooter,30,Male,Saturday
2023,December,Karnali,Jumla,Feeder,Straight,Evening,Minor Injury,Clear,Damaged,Motorbike,30,Male,Thursday
2024,January,Koshi,Sunsari,Highway,Straight,Afternoon,Fatal,Clear,Damaged,Motorbike,30,Male,Saturday
2023,February,Madhesh,Sarlahi,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Male,Friday
2025,November,Koshi,Sunsari,Highway,Straight,Morning,Damage Only,Clear,Dry,Jeep,50,Female,Saturday
2025,March,Lumbini,Kapilvastu,Urban,Straight,Night,Serious Injury,Rain,Wet,Car,80,Male,Thursday
2024,April,Koshi,Morang,Feeder,Junction,Evening,Fatal,Clear,Wet,Microbus,80,Male,Thursday
2025,May,Bagmati,Bhaktapur,Urban,Straight,Morning,Damage Only,Clear,Dry,Scooter,30,Male,Monday
2024,July,Bagmati,Bhaktapur,Urban,Straight,Morning,Minor Injury,Clear,Slippery,Car,30,Male,Tuesday
2023,April,Gandaki,Gorkha,Highway,Straight,Night,Minor Injury,Clear,Slippery,Scooter,50,Female,Saturday
2024,January,Karnali,Surkhet,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Motorbike,80,Male,Saturday
2024,July,Lumbini,Dang,Highway,Junction,Morning,Damage Only,Clear,Slippery,Motorbike,80,Male,Friday
2024,July,Lumbini,Banke,Urban,Curve,Evening,Minor Injury,Clear,Dry,Car,50,Female,Monday
2023,March,Koshi,Sunsari,Urban,Straight,Evening,Damage Only,Rain,Wet,Scooter,50,Male,Saturday
2025,December,Lumbini,Banke,Highway,Straight,Evening,Damage Only,Rain,Wet,Motorbike,80,Male,Friday
2024,April,Sudurpashchim,Achham,Highway,Curve,Evening,Minor Injury,Clear,Dry,Bus,30,Male,Monday
2025,March,Madhesh,Sarlahi,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Bus,30,Female,Saturday
